object,vintage,manifest_file,n_records,bytes,sha256
companies,202206,ids_qspzt.txt,829559,21229858,2b039886a0be9221bb0370cbaf57f315bfcb23bf4c43402e2ca8e9c5406ed7c8
companies,202207,ids_qkicx.txt,829589,21230606,4be712113b28c62ba92093abe60235dce2f6602d96a0df8a84653ed7810aaafc
companies,202208,ids_kcinf.txt,829512,21228618,bf18e55b33bafbe148cd85dce9ea85e98d0729416ec1b76bcf80581fc8bc009d
companies,202209,ids_hploi.txt,829628,21231576,3e474cbfe49bdbc15cfffc61c22281a5291c28f4a5eb4582687ee58221ef60c3
companies,202210,ids_dvhjl.txt,829682,21232924,e165e804b064350e0fefcea8226ec3e300981dfdb3f72596b61b8934b2d8341c
companies,202211,ids_daosj.txt,829682,21232924,e165e804b064350e0fefcea8226ec3e300981dfdb3f72596b61b8934b2d8341c
companies,202212,ids_yehdv.txt,829685,21233000,e255e8e6d242ab16056337651eb71ad990f9a5ce669b2b503058364a00a5d26b
companies,202301,ids_wkarb.txt,829685,21233000,e255e8e6d242ab16056337651eb71ad990f9a5ce669b2b503058364a00a5d26b
companies,202302,ids_tzcce.txt,829685,21233000,e255e8e6d242ab16056337651eb71ad990f9a5ce669b2b503058364a00a5d26b
companies,202303,ids_xwcdz.txt,829685,21233000,e255e8e6d242ab16056337651eb71ad990f9a5ce669b2b503058364a00a5d26b
companies,202304,ids_wkrae.txt,830171,21245206,f20f0722e3627ba1480f0bb902c09eb57f9bc40381796c991e825813d99cd757
companies,202305,ids_udler.txt,831264,21273542,d3f3eb9910dc231332e2e800ca0e2c4632457230276d732e09f213e5d1c0d61c
companies,202306,ids_pleid.txt,831303,21274554,3c9594facdcc01e3c122976340ede5e4190dc3a3dfc966b719aa1f3396c025a2
companies,202307,ids_dtnnp.txt,965326,24757936,77db40b6879bdf1ef7aaccc0afb9c052dcd6ae66c7de1c293cd7279fadb0ac2d
companies,202308,ids_qlxix.txt,965329,24758014,2943c54b51c0b527af6a1bded6cf135eb004b578fc3d1aa7d333ef081daf7fae
companies,202309,ids_kjklm.txt,965329,24758014,2943c54b51c0b527af6a1bded6cf135eb004b578fc3d1aa7d333ef081daf7fae
companies,202310,ids_syybm.txt,965329,24758014,2943c54b51c0b527af6a1bded6cf135eb004b578fc3d1aa7d333ef081daf7fae
companies,202311,ids_ikiyu.txt,1196254,30754018,de7453bf889ec5232116c2a60bf63bb1284bbae0be00c2709ecebc9753cb0c25
companies,202312,ids_equsp.txt,1216266,31273696,046a4862861cd31242a3bd0a1dd24020e21ce57b3dbc7b085ba828207a90191e
companies,202401,ids_otukp.txt,1216266,31273696,046a4862861cd31242a3bd0a1dd24020e21ce57b3dbc7b085ba828207a90191e
companies,202402,ids_ummgk.txt,1216349,31275850,db7b8bc9fed95742c7526c8807d20c82fd53a6bb72dc75654bb60b31acdc7ac2
companies,202403,ids_sfood.txt,1217085,31294960,b92309a22169dd74e717f8b4882c31fb5dfa6c24b5017d1df683cc51cb5427ce
companies,202404,ids_lulmx.txt,1222402,31432924,3cef45cf9e6dfbf79cf2de7a681736c58f99acdc981ef587cad3d016e4a9d32a
companies,202405,ids_zdwjs.txt,1225185,31505133,ee7bb453dbe3675692a1deabab8ef2f3a3b952fc3a7ca50bfda967b551595657
companies,202406,ids_betag.txt,1226062,31527897,0babbae2c875120d6bb12411137c81b08a6d04cdd6a4175e4eb737e94cb2dea6
companies,202407,ids_ktjhj.txt,1227214,31557813,ded01be967512bfc35ddb9fc9a0d7a6dd2a6cd5b2e7031d35d81e37912d7c379
companies,202408,ids_mexsv.txt,1227215,31557839,c4c3793201dcd25f698d009db5e1c75348b101f41cb5bce10ba5ebff2f2a8eee
companies,202409,ids_onrdg.txt,1227360,31561605,fb4abb0b64fe11f481ef8fb31124009075369d17cdbe2bda375df1a972d5b0a0
companies,202410,ids_cgesw.txt,1227396,31562540,2d22b15a67fb41096322324445f6ee9519e91f253d6f7c88cccf52beead2fd7e
companies,202411,ids_ybebm.txt,1227427,31563343,6c76192e6b8ebd3f22047abf7dfbb6ebcec960221de6cbf52e884099edd20955
companies,202412,ids_jbnvd.txt,1227499,31565213,03aa3450f55687ef93c374df3904b73f3958d4e26d5488a30bfd5d6fd77bc6fa
companies,202501,ids_yprzd.txt,1227518,31565706,792db7cbe2e72641512323b3efe6e2fbeeb3dfbff75ce3696049646559d9046a
companies,202502,ids_pdhsl.txt,1227544,31566382,1db3f6040fbd5c6242c855026de2c76440423f72becf384f34925b9449aa4f2e
companies,202503,ids_tjfby.txt,1357863,34953066,f11418b6fb36e9cd17657261d2d620460c4a0000703fddf780354a71c53becf6
companies,202504,ids_luipf.txt,1404635,36169489,b0a87ffd4c7cbb188920a7dd78ce8efb0dfe1f75fc09dcdbf2e581921d1f642c
companies,202505,ids_sfynk.txt,1415864,36462585,e91a8521a57132a29f02ddd754c15972efb1ec6d1791387e9717dacb3edf341b
companies,202506,ids_mlxfq.txt,1415944,36464674,d50d699110eb2ba71a733970102fc4c1e1c6f40fb872de40d2da256f6c0fb4a4
companies,202507,ids_hgomq.txt,1415957,36465014,e84ce849ee18906178147b0f6169e029f97e4fda45f74851198edc402c703307
companies,202508,ids_ctffw.txt,1415969,36465328,5145b06fac9d1820e98b40de728f02ea140a4960be2b0950c0aaee1b778340fe
companies,202509,ids_mqiwx.txt,1416490,36478927,63d27cf624b3cd51974ea12bdc8d8f8c15a23a369c49ad943c49534e7e74f08f
companies,202510,ids_ituou.txt,1799709,46451137,7f8da3b760b67f0301c17eb8b7bfd4f18c74a38adbfe3123d74d5d6c3cfe6e5f
companies,202511,ids_vjlqd.txt,1845539,47644363,2d7951be5189cb1a3c8ee683cd10832a2da4e60da620f368e6cfb04d424f2a1f
companies,202512,ids_ffqky.txt,1847826,47704743,3c59f3cdd73550aaf5368f9dbe3126281434333d43b87b798f13e125faef85b9
companies,202601,ids_musty.txt,1849296,47743726,8b6ed361f995223cdcc919683fbfd1c6e7b9c352acaaa69537b32b8e3eed1886
companies,202602,ids_zqudt.txt,1850230,47768560,1dbad523b960874d0ff30d5f5bd5382915df7724d859b7e2c729bd9837b591a9
companies,202603,ids_cgsme.txt,1852076,47817170,2ae13fc3b757c54c853e8312eb3d224c379a62c5189179aa38b8a9e1d441f43c
companies,202604,ids_vncgo.txt,1852962,47840694,d14a7e965814024f0a88a58c3807d247ec455fadd8698568b1aeb81f4a48be87
reviews,202206,ids_zhubx.txt,17096860,755864658,4f86e5e4f2b7a9cc86c92d928a417b8e9f8fef62391f5f01ee4c7609d0cb265e
reviews,202207,ids_iondf.txt,17228547,760917811,baab13e7cbd66d8b9a99f43eed3620639570b1f72f3f48f3ff07459ab4582c22
reviews,202208,ids_dnwhy.txt,17938738,791973251,ead375abf7171e94e59e59045de264579060e37f99e29835a8c9f8a5f0bcaf5f
reviews,202209,ids_ibfio.txt,18019810,795378845,6e194a3b7f9c4d5b3f5478e1bb08a2228716f07a32465f102faf7e09d445ebbd
reviews,202210,ids_tmsaf.txt,18653905,823493030,90fd965389761c3d779b2d4d36f8b991beafc2bad4962aa7225293bdbac98dfb
reviews,202211,ids_qhipo.txt,19053589,840735256,dcf61bd52bf684a2f81dc7fc8b52014687554244c9ae7459e52154e8e348c652
reviews,202212,ids_sbcgz.txt,19153248,844821636,d7c916d181462e3edaa306c6616286644bcef90194e8f0a3e4b90f0a28979dec
reviews,202301,ids_fwplv.txt,19480851,859198100,27a61981ecb39e9103b7ca9b772ae28a59fa0c279158caee3e00b74ef8b9eb58
reviews,202302,ids_eokqn.txt,19783365,872586948,fe26bd175baa2953de04c1d35da235081dbde60c460646d5ed6bde0343e3ad37
reviews,202303,ids_yjmuh.txt,20008203,882474893,021f2c432fe5f01f14e5e425fdf957a236a89c179c1e8466ca74e30dce797bc1
reviews,202304,ids_estfh.txt,20405410,899894568,0827b8f3873abc0369d8a3ae84cf61809ed44da8fa4611c890515b7c0629c285
reviews,202305,ids_gyqja.txt,20734396,914528979,44dd7318477e8da476b9dc8037c4cd9a19260c99c8a462c3566f2de289fcdf49
reviews,202306,ids_ecvjd.txt,26149464,1148326339,2ac37c138805353b574b17558f7d466e746435965c5415369d8a57bffbc41b6e
reviews,202307,ids_jgydn.txt,27019194,1186635801,decf088480a3420bcf6a19bb98bb6c33fb5e1929b60a62a1b29fcff8eb42dc71
reviews,202308,ids_imqzh.txt,27019194,1186635801,decf088480a3420bcf6a19bb98bb6c33fb5e1929b60a62a1b29fcff8eb42dc71
reviews,202309,ids_ljoes.txt,27611343,1212652935,dec56dc12c377944e81719d70bc484b1a354fff3a184c6cddff1700774941f88
reviews,202310,ids_ypjiq.txt,28017794,1230386240,9d6960ad5ef1c5e356bcd34586ecdab717428f1fddaf87e144cc42fbd67b462e
reviews,202311,ids_rmsyq.txt,28412521,1247593384,43c26107a3d5097ccd29bc9ebe84382d0156ac8301e1cc7f7497b4a29dfbc802
reviews,202312,ids_nduno.txt,28789116,1264105494,793c1ed0727c46ec6ebcf7021364e53bf1a874f00fea398819f09ec11ee9b25f
reviews,202401,ids_uxksu.txt,29389282,1290515886,5b49b616532d140c2d5c38d7d5733c2b3a9a3a8318070b9b55e8312e8d4386d9
reviews,202402,ids_dogfd.txt,29817070,1309366490,c6da07f59d03b17f961fc0dee449411378bdc29fc0660ea24d7179f075f3a8e5
reviews,202403,ids_dntaf.txt,29874009,1311702420,bac2a8b4a28406d286585bc4affea26394680d0ee0d03975e032649b7dae69d5
reviews,202404,ids_oxgsm.txt,30294352,1329928779,3666171daf442a7629f3591d8b51850084b511372d9b922bd6b8582b1729bb8a
reviews,202405,ids_yjcss.txt,30712701,1348202407,919647d547eb1fbbdd8044fe0ee3e6c68fd1f67bd8624d0ca04aac6e40bc6794
reviews,202406,ids_idwkc.txt,31125909,1365942714,79024a5d21af43f350e5c348c15ded7133948f81d54aa8aef9b1f842285a795b
reviews,202407,ids_yttiu.txt,31548102,1384278924,87e4fb10a001abe97ab3486ae5382954340d3eab8091f30628d79cd3addce539
reviews,202408,ids_ddusy.txt,31722807,1392270938,ff901c5efe751b32750b5edc32dd7014eddda8de46cced5d5a03f1f86f752252
reviews,202409,ids_ytizw.txt,32424087,1422153089,316ec5439e581dfeb86610d77d9662400386c159047a3fe8f980e2d59bc990b0
reviews,202410,ids_mjzka.txt,32891695,1442673280,fc2e8a0ed03c64afdd8e521a72aa637878534c1eb3ac9968b15fe264a25870eb
reviews,202411,ids_ehfti.txt,33482875,1468202023,d882c07b518cf67b2767029c79feb1f923e11ee18d126017f39401e74f1e34e1
reviews,202412,ids_mlnnn.txt,33731990,1479125591,865b8ae81008344cab7814ee33e561bfc595a53520b771dfa1ea74e822c5fa0b
reviews,202501,ids_atzhq.txt,34393872,1507822374,990eb2ec660d9186bc9b7e44b495ed14fee9e5afae0078f9a203afbfc19463c5
reviews,202502,ids_fpjut.txt,34764776,1524047213,178c6c87d63993542e1d39d90950b5e68076edbcd462aab7c742f720a483ed31
reviews,202503,ids_bcyna.txt,35679095,1564973464,1e825bb63b31f5cc16c9ef38887d313d820fa8afecb1a1c4340c0634b3be06f8
reviews,202504,ids_gsntk.txt,35993023,1578641071,f4cfb1d1a067d57325dd35f6a7b7c57ed9e8e673d43fdc166e70ea2cdf123fdb
reviews,202505,ids_wbvxq.txt,36085151,1582614184,db7a68e7c8305ae36b3b9a91d3026acbff194b688c4ce096ef8a614a545dbd99
reviews,202506,ids_ikcrf.txt,36468200,1598417366,5e69f5598b7938420f4c93d96c4270f06fb4651e6465e6e18f9e46b7b83e9cbe
reviews,202507,ids_hwtxz.txt,36840596,1614517725,0e8f9452d09c6f878bb8e7f09c8c41bc66d23f788e728c0d9030501dcb79625c
reviews,202508,ids_jovyr.txt,37159458,1628325269,2bd6f65b8de3c022b754986bbe554c3e152b25503081a7f21c5877f04078798c
reviews,202509,ids_jfdsl.txt,37441687,1640615880,6140bdea3651d53a3c261f6a32bb727a7d2e67a10af7781f845eb52079769ba1
reviews,202510,ids_xpxhh.txt,37733855,1653266164,783ce0b560860afd015008d612d97500ebdaec04f53a228a0776b806d36e7492
reviews,202511,ids_wrgad.txt,38228671,1674843212,c925b9577f446239ad5860ce7bdbcf1ea1563b8ec151424566f7a088800bd728
reviews,202512,ids_lszud.txt,38493041,1685908515,02c34dfbee0a325d1f9391587101671ff32c9781ff9f277686eb462b6d05e73c
reviews,202601,ids_ejqox.txt,38720200,1695876635,2cd601198d90df6b3e2d4407103aa3f8c7cb6eb977b3be2baface8a633d5d1da
reviews,202602,ids_pdayn.txt,38890641,1703419657,b3af9b2d726848e086b640b89c1585c3669ddeb9d93e9d8a6bffde8088e1abb5
reviews,202603,ids_gidmb.txt,42128694,1859618660,9385f3f8dc06447b83fc94e5b3cedb422a6c2be817371f8bfd5ce02205bdab1f
reviews,202604,ids_kzclj.txt,42282291,1866529840,a113524eccb3ce98b92da2fcc2f67dc2e355f31e8b759b6fe2e75830ed3a3708
